label,quant,type,depth,pp_tok_s,tg_tok_s,vram_peak_mib,ram_used_peak_mib,status
27B_IQ4_XS,IQ4_XS,dense,0,1724.746864,36.617057,15024,586,OK
27B_IQ4_XS,IQ4_XS,dense,4096,1657.961455,35.763823,15164,895,OK
27B_IQ4_XS,IQ4_XS,dense,8192,1581.729377,35.288504,15304,1048,OK
27B_IQ4_XS,IQ4_XS,dense,16384,1435.096610,34.015402,15538,1345,OK
27B_IQ4_XS,IQ4_XS,dense,32768,,,14254,443,FAIL
35B_UD-IQ4_NL_XL,UD-IQ4_NL_XL,moe,0,667.247059,52.541369,2784,673,OK
35B_UD-IQ4_NL_XL,UD-IQ4_NL_XL,moe,4096,779.590610,55.688401,2826,791,OK
35B_UD-IQ4_NL_XL,UD-IQ4_NL_XL,moe,8192,790.010311,55.740104,2870,838,OK
35B_UD-IQ4_NL_XL,UD-IQ4_NL_XL,moe,16384,767.200247,54.461956,2954,934,OK
35B_UD-IQ4_NL_XL,UD-IQ4_NL_XL,moe,32768,761.382822,52.222198,3124,1123,OK
35B_UD-Q4_K_XL,UD-Q4_K_XL,moe,0,259.137741,48.748725,2902,818,OK
35B_UD-Q4_K_XL,UD-Q4_K_XL,moe,4096,521.876337,52.188877,2944,791,OK
35B_UD-Q4_K_XL,UD-Q4_K_XL,moe,8192,504.101126,50.148200,2988,840,OK
35B_UD-Q4_K_XL,UD-Q4_K_XL,moe,16384,641.635735,53.673761,3072,935,OK
35B_UD-Q4_K_XL,UD-Q4_K_XL,moe,32768,634.681477,51.457538,3242,1124,OK
35B_UD-Q3_K_M,UD-Q3_K_M,moe,0,839.256485,57.735788,2784,663,OK
35B_UD-Q3_K_M,UD-Q3_K_M,moe,4096,848.292138,57.190165,2826,781,OK
35B_UD-Q3_K_M,UD-Q3_K_M,moe,8192,830.430151,56.001730,2870,828,OK
35B_UD-Q3_K_M,UD-Q3_K_M,moe,16384,830.911870,54.393661,2954,929,OK
35B_UD-Q3_K_M,UD-Q3_K_M,moe,32768,810.145374,52.848308,3124,1117,OK
27B_Heretic_Youssofal_Q3_K_M,Q3_K_M,dense,0,1497.204707,36.477595,13102,1003,OK
27B_Heretic_Youssofal_Q3_K_M,Q3_K_M,dense,4096,1448.230710,35.024870,13242,832,OK
27B_Heretic_Youssofal_Q3_K_M,Q3_K_M,dense,8192,1388.979790,34.913758,13382,974,OK
27B_Heretic_Youssofal_Q3_K_M,Q3_K_M,dense,16384,1131.019257,33.507291,13646,1257,OK
